,縣市,鄉鎮,村里,土石流潛勢溪流編號,重要地標,參考雨量站  第一參考/第二參考,警戒值
0,高雄市,那瑪夏區,瑪雅里,高市DF086,省道台29線5.4K,那瑪夏國中/  民權,300
1,高雄市,那瑪夏區,瑪雅里,高市DF069,台29線8.9K民族橋,那瑪夏國中/  民權,300
2,高雄市,那瑪夏區,瑪雅里,高市DF068,台29線7.3K月兒橋,那瑪夏國中/  民權,300
3,高雄市,那瑪夏區,瑪雅里,高市DF067,台21線約208.1k處,那瑪夏國中/  民權,300
4,高雄市,那瑪夏區,瑪雅里,高市DF066,平和巷,那瑪夏國中/  民權,300
5,高雄市,那瑪夏區,瑪雅里,高市DF006,三民國中,那瑪夏國中/  民權,300
6,高雄市,那瑪夏區,達卡努瓦里,高市DF085,達卡努瓦里秀嶺巷181號,達卡努瓦/  那瑪夏國中,300
7,高雄市,那瑪夏區,達卡努瓦里,高市DF084,民生橋,達卡努瓦/  那瑪夏國中,300
8,高雄市,那瑪夏區,達卡努瓦里,高市DF083,達卡努瓦橋,達卡努瓦/  那瑪夏國中,300
9,高雄市,那瑪夏區,達卡努瓦里,高市DF065,卡馬龍平台,達卡努瓦/  那瑪夏國中,300
